"game_id","title","platform","risk_level","status","decision","decision_reason","reviewer_notes","prompt_pack_json","prompt_pack_md","selected_for_generation"
"panzer-dragoon-saga-sega-saturn","Panzer Dragoon Saga","Sega Saturn","medium","APPROVED","APPROVED","","","packs/panzer-dragoon-saga-sega-saturn.json","packs/panzer-dragoon-saga-sega-saturn.md","1"
"super-metroid-super-nintendo","Super Metroid","Super Nintendo","high","RETRY","RETRY","","","packs/super-metroid-super-nintendo.json","packs/super-metroid-super-nintendo.md",""
"tekken-3-playstation","Tekken 3","PlayStation","high","REJECTED","REJECT","","","packs/tekken-3-playstation.json","packs/tekken-3-playstation.md",""
"castlevania-aria-of-sorrow-game-boy-advance","Castlevania: Aria of Sorrow","Game Boy Advance","high","APPROVED","APPROVED","","","packs/castlevania-aria-of-sorrow-game-boy-advance.json","packs/castlevania-aria-of-sorrow-game-boy-advance.md","1"
"phantasy-star-iv-sega-genesis","Phantasy Star IV","Sega Genesis","low","REJECTED","REJECT","","","packs/phantasy-star-iv-sega-genesis.json","packs/phantasy-star-iv-sega-genesis.md",""
"resident-evil-2-playstation","Resident Evil 2","PlayStation","high","RETRY","RETRY","","","packs/resident-evil-2-playstation.json","packs/resident-evil-2-playstation.md",""
"metroid-zero-mission-game-boy-advance","Metroid: Zero Mission","Game Boy Advance","high","RETRY","RETRY","","","packs/metroid-zero-mission-game-boy-advance.json","packs/metroid-zero-mission-game-boy-advance.md",""
"the-legend-of-zelda-links-awakening-game-boy","The Legend of Zelda: Link's Awakening","Game Boy","high","RETRY","RETRY","","","packs/the-legend-of-zelda-links-awakening-game-boy.json","packs/the-legend-of-zelda-links-awakening-game-boy.md",""
"pokemon-crystal-game-boy","Pokémon Crystal","Game Boy","low","APPROVED","APPROVED","","","packs/pokemon-crystal-game-boy.json","packs/pokemon-crystal-game-boy.md","1"
"silent-hill-playstation","Silent Hill","PlayStation","high","REJECTED","REJECT","","","packs/silent-hill-playstation.json","packs/silent-hill-playstation.md",""
"shinobi-iii-sega-genesis","Shinobi III","Sega Genesis","low","RETRY","RETRY","","","packs/shinobi-iii-sega-genesis.json","packs/shinobi-iii-sega-genesis.md",""
"megaman-zero-game-boy-advance","Mega Man Zero","Game Boy Advance","high","REJECTED","REJECT","","","packs/megaman-zero-game-boy-advance.json","packs/megaman-zero-game-boy-advance.md",""
"mario-kart-super-circuit-game-boy-advance","Mario Kart: Super Circuit","Game Boy Advance","high","REJECTED","REJECT","","","packs/mario-kart-super-circuit-game-boy-advance.json","packs/mario-kart-super-circuit-game-boy-advance.md",""
"castlevania-bloodlines-sega-genesis","Castlevania: Bloodlines","Sega Genesis","high","RETRY","RETRY","","","packs/castlevania-bloodlines-sega-genesis.json","packs/castlevania-bloodlines-sega-genesis.md",""
"wario-land-super-mario-land-3-game-boy","Wario Land: Super Mario Land 3","Game Boy","high","APPROVED","APPROVED","","","packs/wario-land-super-mario-land-3-game-boy.json","packs/wario-land-super-mario-land-3-game-boy.md","1"
"metroid-ii-return-of-samus-game-boy","Metroid II: Return of Samus","Game Boy","high","APPROVED","APPROVED","","","packs/metroid-ii-return-of-samus-game-boy.json","packs/metroid-ii-return-of-samus-game-boy.md","1"
